emperor,file,material,denomination,year_l,year_h,mint,officina,emission,weight,diameter,axis,obverse_legend,reverse_legend,class,type,exergue,obverse_desc,reverse_desc,reference,sub_collection__001,sub_collection__002,provenance,code,stock
Anastasius,anastasius1,AE,Follis,491,507,Constantinople,-,null,8.91g,25.0mm,6H,D N ANASTASIVS P P AVG,-,,,CON,"Diademed, draped, and cuirassed bust right","Large M with star either side, cross above",SBCV 15,,,"Ex. FSRCoin Bargain List, March 2018",MZJK,yes
Anastasius,anastasius2,AE,Half-Follis,512,517,Constantinople,4th,null,7.98g,26.0mm,6H,D N ANASTASIVS P P AVG,-,,,-,"Diademed, draped, and cuirassed bust right","Large K, long cross to left, Δ Officina to the right",SBCV 25,,,"Ex. Numismatik-Naumann Auction 62, Lot 1203 (Part of)",CWSG,yes
Justinian the Great,justiniani7,AE,Follis,538,539,Cyzicus,null,null,11.68g,32.8mm,12H,D N IVSTINIANVS PP AVG,-,,,YZ,"Emperor, pearl diademed, draped, cuirassed bust right","Large K, ANNO to left, cross above, regnal year to right",SBCV 208,,,Ex. eBay 2019,,yes
Justinian the Great,justiniani6,AE,Follis,536,539,Antioch,3rd,null,17.56g,29.0mm,6H,D N IVSTINIANVS PP AVG,-,,,ϴYΠOΛS,"Emperor, pearl diademed, draped, cuirassed bust right","Large M, star to left, cross above, star to right, Γ below",SBCV 217,,,Ex. Augustus Coins 2018,,yes
Justinian the Great,justiniani2,AE,Follis,539,540,Antioch,4th,null,21.50g,39.5mm,6H,D N IVSTINIANVS PP AVG,-,,,ϴYΠO,"Emperor, helmeted and cuirassed bust facing, holding cross on globe and shield with horseman motif, cross to right","Large M, ANNO to left, cross above, regnal year to right, officina letter below",SBCV 218,,,Ex. eBay 2019,,yes
Justinian the Great,justiniani1,AE,Follis,540,541,Nicomedia,1st,null,23.31g,39.0mm,6H,D N IVSTINIANVS PP AVG,-,,,NIKO,"Helmeted and cuirassed bust of Justinian I facing, holding globus cruciger and shield decorated with horseman motif; cross to right","Large M; A/N/N/O - X/II/II (R.Y. 14) across field, cross above, A below",SBCV 201,,,Ex. Numismatik Naumann Auction 60 Lot 593,X3FE,yes
Justinian the Great,justiniani5,AE,Follis,542,543,Constantinople,4th,null,19.16g,39.0mm,6H,D N IVSTINIANVS P P AVG,-,,,CON,"Helmeted and cuirassed bust of Justinian I facing, holding globus cruciger and shield decorated with horseman motif; cross to right","Large M; A/N/N/O - X/ЧI (R.Y. 16) across field, cross above, Є below",SBCV 163,,,"Ex. Nomos Obolos Auction 10, Lot 532",,yes
Justinian the Great,justiniani3,AE,Follis,542,543,Cyzicus,2nd,null,19.765g,39.4mm,6H,D N IVSTINIANVS P P AVG,-,,,KYZ,"Helmeted and cuirassed bust of Justinian I facing, holding globus cruciger and shield decorated with horseman motif; cross to right","Large M; A/N/N/O - X/ς (R.Y. 16) across field, cross above, B below",SBCV 207,,,"Ex. Ancient & Medieval Coins Canada Auction 2, Lot 277, Ex. Forum Ancient Coins",,yes
Justinian the Great,justiniani4,AE,Follis,548,549,Constantinople,1st,null,19.59g,33.98mm,8H,D N IVSTINIANVS PP AVG,-,,,CON,"Helmeted and cuirassed bust of Justinian I facing, holding globus cruciger and shield decorated with horseman motif; cross to right","Large M; A/N/N/O - X/X/II (R.Y. 16) across field, cross above, A below",SBCV 163,,,"Ex. Agora Auctions Sale 73, Lot 313",VWJ3,yes
Justin II,justinii1,AE,Follis,570,571,Constantinople,4th,null,16.30g,30.0mm,6H,DN IVSTINVS P P AUC,-,,,CON,"Nimbate figures of Justin and Sophia seated facing on double throne, holding globus cruciger and cruciform scepter, respectively","Large M; A/N/N/O - Ϛ (R.Y. 6) across field, Christogram above, Γ below",SBCV 360,,,"Ex. FSR Auction 104, Lot 438",HE3S,yes
