|,emperor,file,material,denomination,year_l,year_h,mint,officina,emission,weight,diameter,axis,obverse_legend,reverse_legend,class,type,exergue,obverse_desc,reverse_desc,reference,sub_collection__001,sub_collection__002,provenance,code,stock
imperial,Hadrian,hadrian,AR,Denarius,119,122,Rome,null,null,3.05,19.0mm,7H,IMP CAESAR TRAIAN HADRIANVS AVG,P M TR P COS III,,,SAL AVG,"Bust of Hadrian, laureate, draped, cuirassed, facing right","Salus seated left, feeding serpent, who is wrapped around an altar, out of patera with right hand",RIC II 137C,,,Ex. Romae Aeternae Numismatics 2016,WK25,yes
,Septimius Severus,septimiusseverus3,AR,Denarius,194,195,Emesa,null,null,3.47,17.5mm,6H,IMP CAE L SEP SEV PERT AVG COS II,VICTOR AVG,,,null,"Head of Septimius Severus, laureate, right","Victory, winged, draped, advancing left, holding wreath in extended right hand and palm sloped over left shoulder in left hand",RIC IV Septimius Severus 425,,,"Ex. Doug Smith Collection, Ex. John Anthony 2019",,yes
,Septimius Severus,septimiusseverus1,AR,Denarius,194,195,Emesa,null,null,3.20,18.0mm,11H,IMP CAE L SEP SEV PERT AVG COS II,VIRTVTE AVG,,,null,"Head of Septimius Severus, laureate, right","Virtus, helmeted, draped, standing left, holding spear in right hand and parazonium in left hand",RIC IV Septimius Severus 431,,,"Ex. Solidus Numismatik Online Auction 21, Lot 442",KQTH,yes
,Septimius Severus,septimiusseverus2,AR,Denarius,202,210,Rome,null,null,2.84,19.5mm,12H,SEVERVS PIVS AVG,VICT PART MAX,,,null,"Bust of Septimius Severus, laureate, facing right","Victory, winged, draped, advancing left, holding wreath in extended right hand and palm sloped over left shoulder in left hand",RIC IV Septimius Severus 295,,,Ex. Forvm Ancient Coins 2016,KUQW,yes
,Valerian I,valeriani,BI,Antoninianus,253,253,Rome,null,null,2.80,22.2mm,6H,IMP C P LIC VALERIANVS AVG,FIDES MILITVM,,,null,"Bust of Valerian, radiate, draped, facing right","Fides, draped, standing left, holding two ensigns",RIC V 89,,,Ex. Forvm Ancient Coins 2017,C3FD,
,Postumus,postumus,BI,Antoninianus,260,269,Lugdunum,null,null,3.60,19.0mm,6H,IMP C POSTVMVS P F AVG,MINER FAVTR,,,null,"Bust of Postumus, radiate, draped, right, or bust of Postumus, radiate, draped, cuirassed, right","Minerva, helmeted, draped, running left, holding olive-branch in right hand and spear and shield in left hand",RIC V Postumus 74,,,Ex. Aeternitas Numismatics 2017,K3CD,
,Gallienus,gallienus2,BI,Antoninianus,260,268,Rome,null,null,4.57,23.65mm,6H,GALLIENVS AVG,IOVI CONS AVG,,,ς,"Head of Gallienus, radiate, right","Goat, walking right",RIC V Gallienus 207,,,Ex. Marc R. Breitsprecher 2018,,yes
,Gallienus,gallienus1,BI,Antoninianus,267,268,Rome,null,10th,3.25,21.0mm,6H,GALLIENVS AVG,NEPTVNO CONS AVG,,,II,"Head of Gallienus, radiate, right","Hippocamp or capricorn, right",RIC V Gallienus 245,,,"Ex. CNG Electronic Auction 436, Lot 688, Ex. William Whetstone Collection",,yes
,Victorinus,victorinus2,AE,Antoninianus,269,271,Cologne,null,null,2.70,21.0mm,12H,IMP C VICTORINVS P F AVG,INVICTVS,,,null,"Bust of Victorinus, radiate, draped, right, or bust of Victorinus, radiate, draped, cuirassed, facing right","Sol, walking left, raising right hand and holding whip in left hand",RIC V 114,,,"Ex. Art Ancient Ltd., Ex. <a href=""south_petherton_hoard.html"">South Petherton Hoard</a>",5X9Z,
,Probus,probus1,BI,Antoninianus,276,282,Tripolis,null,null,3.50,24.0mm,6H,IMP C M AVR PROBVS P F AVG,CLEMENTIA TEMP,,,✱//XXI,"Bust of Probus, radiate, draped, right or bust of Probus, radiate, draped, cuirassed, right","Probus, standing right, holding sceptre, receiving globe from Jupiter, standing left, holding sceptre",RIC V 927,,,Ex. JAZ Numismatics 2017,QJVM,yes
,Probus,probus3,AE,Antoninianus,276,282,Ticinum,4th,null,4.15,23.5mm,12H,IMP C PROBVS AVG,MARTI PACIF,,,I/-//QXXI,"Bust of Probus, radiate, wearing imperial mantle, left, holding sceptre surmounted by eagle in right hand","Mars, helmeted, in military attire, walking left, holding olive-branch in right hand and spear and shield in left hand",RIC V Probus 508,Ticinum EQVITI,,"Ex. Frank S. Robinson Auction 107, Lot 336",,
,Probus,probus4,AE,Antoninianus,276,282,Ticinum,4th,null,3.93,25.0mm,6H,VIRTVS PROBI AVG,MARTI PACIF,,,I/-//QXXI,"Bust of Probus, helmeted, radiate, cuirassed, left, holding spear in right hand and shield in left hand","Mars, helmeted, in military attire, walking left, holding olive-branch in right hand and spear and shield in left hand",RIC V Probus 509,Ticinum EQVITI,,Ex. Secret Saturnalia 2018,,
,Carausius,carausius1,AE,Antoninianus,286,293,London,null,null,4.86,23.5mm,7H,IMP C CARAVSIVS P F AVG,PAX AVG,,,B/E//MLXXI,"Bust of Carausius, radiate, cuirassed, right","Pax, draped, standing left, holding olive-branch in right hand and vertical sceptre in left hand",RIC V Carausius 98,,,"Ex. CNG eAuction 427, Lot 454",XNFK,yes
,Maximian,maximian4,AE,Follis,294,296,London,null,null,8.85,27.0mm,12H,IMP C MAXIMIANVS P F AVG,GENIO POPV–LI ROMANI,,,-/-//-,"Laureate, truncated, bare neck bust right","Genius standing, facing left, head surmounted by a modius, naked except for chlamys over left shoulder, holding patera in right hand and cornucopia in left arm",RIC VI Lugdunum 14b,Invasion Coinage,,"Ex. Ancient & Medieval Coins Canada Auction 1, Lot 126, Ex. James Pickering Romano-Britannic Collection, Ex. Gert Boersema",SVCC,yes
,Constantius I Chlorus,constantiusi3,AE,Follis,294,296,London,null,null,11.15,28.5mm,6H,FL VAL CONSTANTIVS NOB C,GENIO POPV–LI ROMANI,,,-/-//-,"Head of Constantius Chlorus, laureate, right","Genius standing, facing left, head surmounted by a modius, naked except for chlamys over left shoulder, holding patera in right hand and cornucopia in left arm",RIC VI Lugdunum 17a,Invasion Coinage,Tetrarchy Mints,Ex. eBay 2019,,yes
,Galerius,galerius4,AE,Follis,294,296,London,null,null,8.16,27.5mm,12H,C VAL MAXIMIANVS NOB C,GENIO POPV–LI ROMANI,,,-/-//-,"Laureate, truncated, bare neck bust right","Genius standing, facing left, head surmounted by a modius, naked except for chlamys over left shoulder, holding patera in right hand and cornucopia in left arm",RIC VI Lugdunum 17b,Invasion Coinage,,"Ex. Ancient & Medieval Coins Canada Auction 1, Lot 127, Ex. James Pickering Romano-Britannic Collection, Ex. Maridvnvm Collection",L2RF,yes
,Maximian,maximian12,AE,Follis,295,295,Treveri,2nd,null,10.55,27.0mm,12H,IMP MAXIMIANVS AVG,GENIO POP-VLI ROMANI,,,B/-//TR,Laureate head of Maximianus to right,"The Genius of the Roman people, nude but for chlamys",RIC VI Treveri 154b,Tetrarchy Mints,,"Ex. Leu Numismatik Web Auction 10, Lot 1515, Ex. Tetrarchy Collection",,yes
,Diocletian,diocletian5,AE,Follis,296,296,London,null,null,9.06,28.0mm,6H,IMP C DIOCLETIANVS P F AVG,GENIO POPV–LI ROMANI,,,-/-//LON,"Laureate, truncated, bare neck bust right","Genius standing, facing left, head surmounted by a modius, naked except for chlamys over left shoulder, holding patera in right hand and cornucopia in left arm","RIC VI Londinium 1a, Cloke & Toone 1.01.001 (R)",Tetrarchy Mints,,"Ex. Ancient & Medieval Coins Canada Auction 1, Lot 128, Ex. James Pickering Romano-Britannic Collection",RYYW,yes
,Diocletian,diocletian8,AE,Follis,296,296,Siscia,null,null,9.57,27.0mm,6H,IMP C DIOCLETIANVS P F AVG,GENIO POPV–L-I ROMANI,,,-/B//✱SIS,"Head of Diocletian, laureate, right","Genius, wearing modius, nude, chlamys draped over left shoulder, standing left, holding patera in right hand and cornucopiae in left hand",RIC VI Siscia 95a,Tetrarchy Mints,,Ex. eBay 2019,,
,Maximian,maximian3,AE,Follis,296,297,Heraclea,5th,null,10.35,27.0mm,12H,IMP C M A MAXIMIANVS P F AVG,GENIO POPV-L-I ROMANI,,,-/-//HT∈,"Head of Maximian, laureate, right","Genius, wearing modius, nude, chlamys draped over left shoulder, standing left, pouring liquid from patera in right hand and holding cornucopiae in left hand",RIC VI Heraclea 17b,,,"Ex. Frank S. Robinson Auction 107, Lot 349",,
,Constantius I Chlorus,constantiusi8,AE,Follis,296,297,Heraclea,1st,null,8.39,29.0mm,12H,FL VAL CONSTANTIVS NOB CAES,GENIO POPV-L-I ROMANI,,,-/-//HTA,"Head of Constantius Chlorus, laureate, right","Genius, wearing modius, nude, chlamys draped over left shoulder, standing left, pouring liquid from patera in right hand and holding cornucopiae in left hand",RIC VI Heraclea 18a,Tetrarchy Mints,,Ex. Budges-Beak eBay 2019,,yes
,Galerius,galerius10,AE,Follis,296,297,Rome,7th,null,9.46,27.6mm,6H,GAL VAL MAXIMIANVS NOB C,GENIO POP-VLI ROMANI,,,R/-//ϵ,"Head of Galerius, laureate, right","Genius, wearing modius, nude, chlamys draped over left shoulder, standing left, holding patera in right hand and cornucopiae in left hand",RIC VI Rome 66b,CNG Lot,,"Ex. CNG Electronic Auction 456, Lot 751 (part of), Ex. Forum Ancient Coins",,
