emperor,file,material,denomination,year_l,year_h,mint,officina,emission,weight,diameter,axis,obverse_legend,reverse_legend,class,type,exergue,obverse_desc,reverse_desc,reference,sub_collection__001,sub_collection__002,provenance,code,stock
Hadrian,hadrian,AR,Denarius,119,122,Rome,null,null,3.05g,19.0mm,7H,IMP CAESAR TRAIAN HADRIANVS AVG,P M TR P COS III,,,SAL AVG,"Bust of Hadrian, laureate, draped, cuirassed, facing right","Salus seated left, feeding serpent, who is wrapped around an altar, out of patera with right hand",RIC II 137C,,,Ex. Romae Aeternae Numismatics 2016,WK25,
Septimius Severus,septimiusseverus3,AR,Denarius,194,195,Emesa,null,null,3.47g,17.5mm,6H,IMP CAE L SEP SEV PERT AVG COS II,VICTOR AVG,,,null,"Head of Septimius Severus, laureate, right","Victory, winged, draped, advancing left, holding wreath in extended right hand and palm sloped over left shoulder in left hand",RIC IV Septimius Severus 425,,,"Ex. Doug Smith Collection, Ex. John Anthony 2019",,
Septimius Severus,septimiusseverus1,AR,Denarius,194,195,Emesa,null,null,3.20g,18.0mm,11H,IMP CAE L SEP SEV PERT AVG COS II,VIRTVTE AVG,,,null,"Head of Septimius Severus, laureate, right","Virtus, helmeted, draped, standing left, holding spear in right hand and parazonium in left hand",RIC IV Septimius Severus 431,,,"Ex. Solidus Numismatik Online Auction 21, Lot 442",KQTH,
Septimius Severus,septimiusseverus2,AR,Denarius,202,210,Rome,null,null,2.843g,19.5mm,12H,SEVERVS PIVS AVG,VICT PART MAX,,,null,"Bust of Septimius Severus, laureate, facing right","Victory, winged, draped, advancing left, holding wreath in extended right hand and palm sloped over left shoulder in left hand",RIC IV Septimius Severus 295,,,Ex. Forvm Ancient Coins 2016,KUQW,
Valerian I,valeriani,BI,Antoninianus,253,253,Rome,null,null,2.798g,22.2mm,6H,IMP C P LIC VALERIANVS AVG,FIDES MILITVM,,,null,"Bust of Valerian, radiate, draped, facing right","Fides, draped, standing left, holding two ensigns",RIC V 89,,,Ex. Forvm Ancient Coins 2017,C3FD,
Postumus,postumus,BI,Antoninianus,260,269,Lugdunum,null,null,3.60g,19.0mm,6H,IMP C POSTVMVS P F AVG,MINER FAVTR,,,null,"Bust of Postumus, radiate, draped, right, or bust of Postumus, radiate, draped, cuirassed, right","Minerva, helmeted, draped, running left, holding olive-branch in right hand and spear and shield in left hand",RIC V Postumus 74,,,Ex. Aeternitas Numismatics 2017,K3CD,
Gallienus,gallienus2,BI,Antoninianus,260,268,Rome,null,null,4.57g,23.65mm,6H,GALLIENVS AVG,IOVI CONS AVG,,,ς,"Head of Gallienus, radiate, right","Goat, walking right",RIC V Gallienus 207,,,Ex. Marc R. Breitsprecher 2018,,
Gallienus,gallienus1,BI,Antoninianus,267,268,Rome,null,10th,3.25g,21.0mm,6H,GALLIENVS AVG,NEPTVNO CONS AVG,,,II,"Head of Gallienus, radiate, right","Hippocamp or capricorn, right",RIC V Gallienus 245,,,"Ex. CNG Electronic Auction 436, Lot 688, Ex. William Whetstone Collection",,
Victorinus,victorinus2,AE,Antoninianus,269,271,Cologne,null,null,2.70g,21.0mm,12H,IMP C VICTORINVS P F AVG,INVICTVS,,,null,"Bust of Victorinus, radiate, draped, right, or bust of Victorinus, radiate, draped, cuirassed, facing right","Sol, walking left, raising right hand and holding whip in left hand",RIC V 114,,,"Ex. Art Ancient Ltd., Ex. <a href=""south_petherton_hoard.html"">South Petherton Hoard</a>",5X9Z,
Probus,probus1,BI,Antoninianus,276,282,Tripolis,null,null,3.50g,24.0mm,6H,IMP C M AVR PROBVS P F AVG,CLEMENTIA TEMP,,,✱//XXI,"Bust of Probus, radiate, draped, right or bust of Probus, radiate, draped, cuirassed, right","Probus, standing right, holding sceptre, receiving globe from Jupiter, standing left, holding sceptre",RIC V 927,,,Ex. JAZ Numismatics 2017,QJVM,
